[2026-06-08 15:05:05.588] 警告 | ToolManager.ExecuteTool: ToolManager.ExecuteTool: 参数错误: OpenTCPart - 缺少必要参数: itemID
[2026-06-08 15:07:47.420] 警告 | ToolManager.ExecuteTool: ToolManager.ExecuteTool: 参数错误: OpenTCPart - 缺少必要参数: itemID
[2026-06-08 15:07:53.649] 警告 | ToolManager.ExecuteTool: ToolManager.ExecuteTool: 参数错误: OpenTCPart - 缺少必要参数: itemID
[2026-06-08 15:07:57.628] 警告 | ToolManager.ExecuteTool: ToolManager.ExecuteTool: 参数错误: OpenPart - 缺少必要参数: path
[2026-06-08 15:55:10.395] 警告 | ToolManager.ExecuteTool: ToolManager.ExecuteTool: 参数错误: OpenPart - 缺少必要参数: path
[2026-06-08 15:55:14.443] 警告 | ToolManager.ExecuteTool: ToolManager.ExecuteTool: 参数错误: OpenPart - 缺少必要参数: path
[2026-06-08 15:55:22.617] 警告 | ToolManager.ExecuteTool: ToolManager.ExecuteTool: 参数错误: OpenPart - 缺少必要参数: path
[2026-06-08 15:55:31.143] 警告 | ToolManager.ExecuteTool: ToolManager.ExecuteTool: 参数错误: BatchUpdateParams - 缺少必要参数: expressions
[2026-06-08 15:55:35.354] 警告 | ToolManager.ExecuteTool: ToolManager.ExecuteTool: 参数错误: BatchUpdateParams - 缺少必要参数: expressions
[2026-06-08 15:55:38.310] 警告 | ToolManager.ExecuteTool: ToolManager.ExecuteTool: 参数错误: CreateParam - 缺少必要参数: std_id
[2026-06-08 15:56:40.397] 错误 | ToolManager.ExecuteTool: ToolManager.ExecuteTool: 执行工具失败: OpenPart
Newtonsoft.Json.JsonReaderException: Bad JSON escape sequence: \U. Path 'path', line 1, position 13.
   在 NXServer.Dispatcher.Invoke[T](Func`1 func) 位置 F:\Documents\beya\runtime\mc-design\dependencies\nx-plugin\src\McDesign.NXPlugin\Dispatcher.cs:行号 40
   在 NXServer.ToolManager.ExecuteTool(String toolName, String requestBody) 位置 F:\Documents\beya\runtime\mc-design\dependencies\nx-plugin\src\McDesign.NXPlugin\ToolManager.cs:行号 0
[2026-06-08 16:30:45.891] 警告 | ToolManager.ExecuteTool: ToolManager.ExecuteTool: 参数错误: OpenPart - 缺少必要参数: path
[2026-06-08 16:36:04.907] 错误 | ToolManager.ExecuteTool: ToolManager.ExecuteTool: 执行工具失败: OpenPart
Newtonsoft.Json.JsonReaderException: Bad JSON escape sequence: \U. Path 'path', line 1, position 13.
   在 NXServer.Dispatcher.Invoke[T](Func`1 func) 位置 F:\Documents\beya\runtime\mc-design\dependencies\nx-plugin\src\McDesign.NXPlugin\Dispatcher.cs:行号 40
   在 NXServer.ToolManager.ExecuteTool(String toolName, String requestBody) 位置 F:\Documents\beya\runtime\mc-design\dependencies\nx-plugin\src\McDesign.NXPlugin\ToolManager.cs:行号 0
[2026-06-08 16:37:05.921] 错误 | ToolManager.ExecuteTool: ToolManager.ExecuteTool: 执行工具失败: CreateImage
Newtonsoft.Json.JsonReaderException: Bad JSON escape sequence: \U. Path 'filePath', line 1, position 17.
   在 NXServer.Dispatcher.Invoke[T](Func`1 func) 位置 F:\Documents\beya\runtime\mc-design\dependencies\nx-plugin\src\McDesign.NXPlugin\Dispatcher.cs:行号 40
   在 NXServer.ToolManager.ExecuteTool(String toolName, String requestBody) 位置 F:\Documents\beya\runtime\mc-design\dependencies\nx-plugin\src\McDesign.NXPlugin\ToolManager.cs:行号 0
[2026-06-08 17:09:45.968] 错误 | ToolManager.ExecuteTool: ToolManager.ExecuteTool: 执行工具失败: OpenPart
Newtonsoft.Json.JsonReaderException: Bad JSON escape sequence: \U. Path 'path', line 1, position 13.
   在 NXServer.Dispatcher.Invoke[T](Func`1 func) 位置 F:\Documents\beya\runtime\mc-design\dependencies\nx-plugin\src\McDesign.NXPlugin\Dispatcher.cs:行号 40
   在 NXServer.ToolManager.ExecuteTool(String toolName, String requestBody) 位置 F:\Documents\beya\runtime\mc-design\dependencies\nx-plugin\src\McDesign.NXPlugin\ToolManager.cs:行号 0
[2026-06-08 19:07:37.594] 警告 | ToolManager.ExecuteTool: ToolManager.ExecuteTool: 参数错误: OpenPart - 缺少必要参数: path
[2026-06-08 19:07:40.508] 警告 | ToolManager.ExecuteTool: ToolManager.ExecuteTool: 参数错误: OpenPart - 缺少必要参数: path
[2026-06-08 19:07:42.983] 警告 | ToolManager.ExecuteTool: ToolManager.ExecuteTool: 参数错误: OpenPart - 缺少必要参数: path
